




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	human_orthologs_for_go_enrichment.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	human_orthologs_for_go_enrichment.txt (3154)	human_orthologs_for_go_enrichment.txt (expected)	human_orthologs_for_go_enrichment.txt (over/under)	human_orthologs_for_go_enrichment.txt (fold Enrichment)	human_orthologs_for_go_enrichment.txt (raw P-value)	human_orthologs_for_go_enrichment.txt (FDR)
drug transmembrane transport (GO:0006855)	8	8	1.21	+	6.61	4.24E-04	6.89E-03
monoterpenoid metabolic process (GO:0016098)	6	6	.91	+	6.61	2.33E-03	2.97E-02
succinate transmembrane transport (GO:0071422)	7	7	1.06	+	6.61	9.88E-04	1.43E-02
dehydroascorbic acid transport (GO:0070837)	7	7	1.06	+	6.61	9.88E-04	1.43E-02
ADP transport (GO:0015866)	7	7	1.06	+	6.61	9.88E-04	1.43E-02
succinate transport (GO:0015744)	7	7	1.06	+	6.61	9.88E-04	1.43E-02
ethanol catabolic process (GO:0006068)	12	11	1.82	+	6.06	5.83E-05	1.20E-03
drug transport (GO:0015893)	10	9	1.51	+	5.95	3.07E-04	5.19E-03
omega-hydroxylase P450 pathway (GO:0097267)	9	8	1.36	+	5.88	7.08E-04	1.08E-02
alditol catabolic process (GO:0019405)	8	7	1.21	+	5.78	1.64E-03	2.22E-02
formation of cytoplasmic translation initiation complex (GO:0001732)	16	14	2.42	+	5.78	8.14E-06	2.10E-04
ribosome disassembly (GO:0032790)	8	7	1.21	+	5.78	1.64E-03	2.21E-02
pre-replicative complex assembly involved in cell cycle DNA replication (GO:1902299)	8	7	1.21	+	5.78	1.64E-03	2.21E-02
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	8	7	1.21	+	5.78	1.64E-03	2.21E-02
malate metabolic process (GO:0006108)	8	7	1.21	+	5.78	1.64E-03	2.21E-02
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	8	7	1.21	+	5.78	1.64E-03	2.21E-02
pre-replicative complex assembly (GO:0036388)	8	7	1.21	+	5.78	1.64E-03	2.20E-02
nucleotide transmembrane transport (GO:1901679)	15	13	2.27	+	5.73	1.84E-05	4.25E-04
primary alcohol catabolic process (GO:0034310)	15	13	2.27	+	5.73	1.84E-05	4.24E-04
ethanol metabolic process (GO:0006067)	21	18	3.18	+	5.67	5.13E-07	1.68E-05
dolichyl diphosphate biosynthetic process (GO:0006489)	7	6	1.06	+	5.67	3.84E-03	4.51E-02
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	7	6	1.06	+	5.67	3.84E-03	4.51E-02
aminophospholipid transport (GO:0015917)	7	6	1.06	+	5.67	3.84E-03	4.50E-02
choline transport (GO:0015871)	7	6	1.06	+	5.67	3.84E-03	4.50E-02
ornithine transport (GO:0015822)	7	6	1.06	+	5.67	3.84E-03	4.50E-02
lipid hydroxylation (GO:0002933)	7	6	1.06	+	5.67	3.84E-03	4.49E-02
dolichyl diphosphate metabolic process (GO:0046465)	7	6	1.06	+	5.67	3.84E-03	4.49E-02
glycerol catabolic process (GO:0019563)	7	6	1.06	+	5.67	3.84E-03	4.49E-02
purine-containing compound transmembrane transport (GO:0072530)	19	16	2.87	+	5.57	2.58E-06	7.33E-05
double-strand break repair via break-induced replication (GO:0000727)	12	10	1.82	+	5.51	2.16E-04	3.79E-03
epoxygenase P450 pathway (GO:0019373)	21	17	3.18	+	5.35	1.83E-06	5.34E-05
phosphatidylethanolamine biosynthetic process (GO:0006646)	15	12	2.27	+	5.29	6.62E-05	1.35E-03
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	15	12	2.27	+	5.29	6.62E-05	1.34E-03
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	15	12	2.27	+	5.29	6.62E-05	1.34E-03
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	15	12	2.27	+	5.29	6.62E-05	1.34E-03
IRES-dependent viral translational initiation (GO:0075522)	10	8	1.51	+	5.29	1.13E-03	1.61E-02
hydrocarbon metabolic process (GO:0120252)	10	8	1.51	+	5.29	1.13E-03	1.60E-02
positive regulation of establishment of protein localization to telomere (GO:1904851)	10	8	1.51	+	5.29	1.13E-03	1.60E-02
protein folding in endoplasmic reticulum (GO:0034975)	10	8	1.51	+	5.29	1.13E-03	1.60E-02
isoprenoid catabolic process (GO:0008300)	10	8	1.51	+	5.29	1.13E-03	1.60E-02
vitamin catabolic process (GO:0009111)	14	11	2.12	+	5.19	1.49E-04	2.76E-03
CDP-diacylglycerol metabolic process (GO:0046341)	14	11	2.12	+	5.19	1.49E-04	2.75E-03
protein retention in ER lumen (GO:0006621)	9	7	1.36	+	5.14	2.59E-03	3.23E-02
doxorubicin metabolic process (GO:0044598)	9	7	1.36	+	5.14	2.59E-03	3.22E-02
daunorubicin metabolic process (GO:0044597)	9	7	1.36	+	5.14	2.59E-03	3.22E-02
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	9	7	1.36	+	5.14	2.59E-03	3.22E-02
DNA topological change (GO:0006265)	9	7	1.36	+	5.14	2.59E-03	3.22E-02
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	9	7	1.36	+	5.14	2.59E-03	3.21E-02
polyketide metabolic process (GO:0030638)	9	7	1.36	+	5.14	2.59E-03	3.21E-02
