Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0015893	GO:0015893	drug transport	5.190e-03	0.000e+00	4.090e+00	8.122e-05
GO:1903008	GO:0032790	ribosome disassembly	2.210e-02	0.000e+00	4.931e+00	1.172e-05
GO:1903008	GO:1903008	organelle disassembly	1.190e-03	0.000e+00	4.191e+00	6.439e-05
GO:1903008	GO:0000422	autophagy of mitochondrion	4.080e-02	0.000e+00	4.459e+00	3.479e-05
GO:1903008	GO:0061726	mitochondrion disassembly	4.080e-02	0.000e+00	4.459e+00	3.479e-05
GO:1903008	GO:0022411	cellular component disassembly	8.450e-04	0.000e+00	2.984e+00	1.037e-03
GO:1903008	GO:1904903	ESCRT III complex disassembly	4.560e-02	0.000e+00	6.549e+00	2.823e-07
GO:1903008	GO:1904896	ESCRT complex disassembly	4.550e-02	0.000e+00	6.543e+00	2.861e-07
GO:0006489	GO:0006489	dolichyl diphosphate biosynthetic process	4.510e-02	0.000e+00	5.830e+00	1.480e-06
GO:0006489	GO:0046465	dolichyl diphosphate metabolic process	4.490e-02	0.000e+00	5.830e+00	1.480e-06
GO:0000727	GO:0000727	double-strand break repair via break-induced replication	3.790e-03	0.000e+00	4.968e+00	1.076e-05
GO:0000727	GO:0000724	double-strand break repair via homologous recombination	1.450e-02	0.000e+00	3.564e+00	2.727e-04
GO:0000727	GO:0000725	recombinational repair	1.640e-02	0.000e+00	3.404e+00	3.942e-04
GO:0000727	GO:0006302	double-strand break repair	7.820e-03	0.000e+00	3.230e+00	5.894e-04
GO:0075522	GO:0075522	IRES-dependent viral translational initiation	1.610e-02	0.000e+00	5.682e+00	2.079e-06
GO:0120252	GO:0120252	hydrocarbon metabolic process	1.600e-02	0.000e+00	3.521e+00	3.016e-04
GO:0006457	GO:0034975	protein folding in endoplasmic reticulum	1.600e-02	0.000e+00	5.409e+00	3.898e-06
GO:0006457	GO:0006457	protein folding	5.040e-16	0.000e+00	2.429e+00	3.726e-03
GO:0006457	GO:0042026	protein refolding	6.870e-04	0.000e+00	3.239e+00	5.771e-04
GO:0006457	GO:0061077	chaperone-mediated protein folding	1.710e-05	0.000e+00	3.756e+00	1.756e-04
GO:0006457	GO:0006458	'de novo' protein folding	1.710e-05	0.000e+00	4.521e+00	3.015e-05
GO:0006457	GO:0051084	'de novo' posttranslational protein folding	2.490e-04	0.000e+00	4.650e+00	2.241e-05
GO:0006457	GO:0051085	chaperone cofactor-dependent protein refolding	7.630e-04	0.000e+00	4.662e+00	2.178e-05
GO:0019748	GO:0030638	polyketide metabolic process	3.210e-02	0.000e+00	3.639e+00	2.294e-04
GO:0019748	GO:0019748	secondary metabolic process	1.170e-03	0.000e+00	3.142e+00	7.209e-04
GO:0002181	GO:0002181	cytoplasmic translation	5.180e-15	0.000e+00	4.456e+00	3.503e-05
GO:0006413	GO:0002183	cytoplasmic translational initiation	3.230e-06	0.000e+00	3.941e+00	1.145e-04
GO:0006413	GO:0006413	translational initiation	1.350e-28	0.000e+00	2.568e+00	2.702e-03
GO:0006081	GO:0046487	glyoxylate metabolic process	4.540e-02	0.000e+00	3.282e+00	5.218e-04
GO:0006081	GO:0006081	cellular aldehyde metabolic process	8.250e-08	0.000e+00	2.609e+00	2.462e-03
GO:0006081	GO:0046185	aldehyde catabolic process	1.610e-02	0.000e+00	3.739e+00	1.823e-04
GO:0006271	GO:0006271	DNA strand elongation involved in DNA replication	1.960e-03	0.000e+00	4.646e+00	2.258e-05
GO:0006271	GO:0022616	DNA strand elongation	8.760e-03	0.000e+00	4.623e+00	2.383e-05
GO:0006099	GO:0006099	tricarboxylic acid cycle	9.930e-06	0.000e+00	2.403e+00	3.950e-03
GO:0006293	GO:0006293	nucleotide-excision repair, preincision complex stabilization	1.370e-03	0.000e+00	7.096e+00	8.011e-08
GO:0006293	GO:0031334	positive regulation of protein-containing complex assembly	2.920e-02	0.000e+00	3.696e+00	2.015e-04
GO:0006293	GO:0043254	regulation of protein-containing complex assembly	2.410e-02	0.000e+00	3.297e+00	5.049e-04
